cluster_id,suggested_canonical,variant,occurrences,in_pricebook,reason,decision,rewrite_recipes,notes
1,Salt,salt,99,no,canonical,merge,yes,
1,Salt,big salt,0,no,container:big,merge,,
2,Garlic,garlic,37,no,canonical,merge,yes,
2,Garlic,garlic clove,55,no,rule:Garlic,merge,,
2,Garlic,freshly garlic,1,no,rule:Garlic,merge,,
3,Spring Onion,spring onion,50,yes,canonical,merge,yes,
3,Spring Onion,green onion,26,no,rule:Spring Onion,merge,,
3,Spring Onion,extra green onion,1,no,rule:Spring Onion,merge,,
3,Spring Onion,green onion stem,1,no,rule:Spring Onion,merge,,
3,Spring Onion,spring onion green,1,no,rule:Spring Onion,merge,,
3,Spring Onion,spring onion stem,1,no,rule:Spring Onion,merge,,
4,Soy Sauce,soy sauce,56,no,canonical,merge,yes,
4,Soy Sauce,light soy sauce,13,no,qualifier?:light,review,,
4,Soy Sauce,dark soy sauce,8,no,qualifier?:dark,review,,
5,Olive Oil,olive oil,56,no,canonical,merge,yes,
5,Olive Oil,light olive oil,0,no,qualifier?:light,review,,
6,Honey,honey,52,no,canonical,merge,yes,
6,Honey,runny honey,1,no,qualifier:runny,merge,,
7,Greek Yoghurt,greek yoghurt,11,no,canonical,merge,yes,dairy-free sub OK
7,Greek Yoghurt,greek yogurt,13,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,plain greek yogurt,9,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,fat greek yogurt,2,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,thick greek yoghurt,2,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,thick yoghurt,2,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,fat greek yoghurt,1,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,full-fat greek yoghurt,1,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,non fat plain greek yogurt,1,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,nonfat plain greek yogurt,1,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,plain nonfat greek yogurt,1,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,thick greek yogurt,1,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,thick strained yoghurt,1,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,thick yogurt,1,no,rule:Greek Yoghurt,merge,,
7,Greek Yoghurt,strained yoghurt,0,no,rule:Greek Yoghurt,merge,,
8,Coriander,coriander,34,yes,canonical,merge,yes,
8,Coriander,cilantro,9,no,variant,merge,,
8,Coriander,coriander stalk,1,no,container:stalk,merge,,
9,Water,water,40,no,canonical,merge,yes,
9,Water,water thin,1,no,qualifier:thin,merge,,
10,Cinnamon,cinnamon,38,no,canonical,merge,yes,
10,Cinnamon,cinnamon stick,2,no,container:stick,merge,,
11,Ginger,ginger,26,yes,canonical,merge,yes,
11,Ginger,cm ginger,3,no,rule:Ginger,merge,,
11,Ginger,inch piece ginger,3,no,rule:Ginger,merge,,
11,Ginger,cm piece ginger,2,no,rule:Ginger,merge,,
11,Ginger,freshly ginger,1,no,rule:Ginger,merge,,
11,Ginger,ginger root,1,no,rule:Ginger,merge,,
11,Ginger,piece ginger,1,no,rule:Ginger,merge,,
11,Ginger,thumb size knob ginger,1,no,rule:Ginger,merge,,
12,Lime Juice,lime juice,13,no,canonical,merge,yes,
12,Lime Juice,juice lime,24,no,rule:Lime Juice,merge,,
12,Lime Juice,freshly squeezed lime juice,1,no,rule:Lime Juice,merge,,
13,Peanut Butter,peanut butter,25,no,canonical,merge,yes,
13,Peanut Butter,smooth peanut butter,6,no,rule:Peanut Butter,merge,,
13,Peanut Butter,chunky peanut butter,1,no,rule:Peanut Butter,merge,,
13,Peanut Butter,creamy peanut butter,1,no,rule:Peanut Butter,merge,,
13,Peanut Butter,natural peanut butter,1,no,rule:Peanut Butter,merge,,
14,Sugar,sugar,25,no,canonical,merge,yes,
14,Sugar,white sugar,7,no,rule:Sugar,merge,,
15,Cocoa Powder,cocoa powder,24,yes,canonical,merge,yes,
15,Cocoa Powder,additional cocoa powder,2,no,rule:Cocoa Powder,merge,,
15,Cocoa Powder,black cocoa powder,1,no,rule:Cocoa Powder,merge,,
15,Cocoa Powder,dark cocoa powder,1,no,rule:Cocoa Powder,merge,,
15,Cocoa Powder,unsweetened cocoa powder,1,no,rule:Cocoa Powder,merge,,
16,Vegetable Oil,vegetable oil,12,no,canonical,merge,yes,
16,Vegetable Oil,neutral oil,8,no,rule:Vegetable Oil,merge,,
16,Vegetable Oil,oil,4,no,rule:Vegetable Oil,merge,,
16,Vegetable Oil,drizzle oil,1,no,rule:Vegetable Oil,merge,,
16,Vegetable Oil,neutral cooking oil,1,no,rule:Vegetable Oil,merge,,
16,Vegetable Oil,neutral oil frying,1,no,rule:Vegetable Oil,merge,,
16,Vegetable Oil,plain oil,1,no,rule:Vegetable Oil,merge,,
17,Lemon Juice,lemon juice,9,no,canonical,merge,yes,
17,Lemon Juice,juice lemon,16,no,rule:Lemon Juice,merge,,
17,Lemon Juice,juice from lemon,1,no,rule:Lemon Juice,merge,,
17,Lemon Juice,juice half lemon,1,no,rule:Lemon Juice,merge,,
18,Chicken Thigh,chicken thigh,23,no,canonical,merge,yes,
18,Chicken Thigh,chicken thigh fillet,2,no,container:fillet,merge,,
19,Yellow Onion,yellow onion,4,no,canonical,merge,yes,
19,Yellow Onion,onion,16,yes,rule:Yellow Onion,merge,,
19,Yellow Onion,white onion,3,no,rule:Yellow Onion,merge,,
19,Yellow Onion,brown onion,1,no,rule:Yellow Onion,merge,,
20,Chocolate,chocolate,4,no,canonical,merge,yes,
20,Chocolate,dark chocolate,16,yes,qualifier?:dark,review,,
21,Milk,milk,17,no,canonical,merge,yes,
21,Milk,milk thin,2,no,qualifier:thin,merge,,
22,Vanilla,vanilla,18,no,canonical,merge,yes,
22,Vanilla,big vanilla,0,no,container:big,merge,,
23,Dark Chocolate Chip,dark chocolate chip,14,no,canonical,merge,no,
23,Dark Chocolate Chip,dark chocolate chip topping,2,no,rule:Dark Chocolate Chip,merge,,
23,Dark Chocolate Chip,mini dark chocolate chip,1,no,rule:Dark Chocolate Chip,merge,,
24,Plain Yoghurt,plain yoghurt,2,no,canonical,merge,yes,
24,Plain Yoghurt,yoghurt,6,no,rule:Plain Yoghurt,merge,,
24,Plain Yoghurt,yogurt,3,no,rule:Plain Yoghurt,merge,,
24,Plain Yoghurt,plain yogurt,2,no,rule:Plain Yoghurt,merge,,
24,Plain Yoghurt,low fat yogurt,1,no,rule:Plain Yoghurt,merge,,
24,Plain Yoghurt,plain full fat yoghurt,1,no,rule:Plain Yoghurt,merge,,
24,Plain Yoghurt,pot yoghurt choice,1,no,rule:Plain Yoghurt,merge,,
24,Plain Yoghurt,yoghurt sour cream,0,no,rule:Plain Yoghurt,merge,,
25,Chicken Stock,chicken stock,6,no,canonical,merge,yes,
25,Chicken Stock,chicken bone broth,3,no,rule:Chicken Stock,merge,,
25,Chicken Stock,chicken stock cube,3,no,rule:Chicken Stock,merge,,
25,Chicken Stock,chicken broth,2,no,rule:Chicken Stock,merge,,
25,Chicken Stock,low sodium chicken stock,1,no,rule:Chicken Stock,merge,,
25,Chicken Stock,or so chicken stock,1,no,rule:Chicken Stock,merge,,
26,Coconut Milk,coconut milk,13,no,canonical,merge,yes,
26,Coconut Milk,full-fat coconut milk,1,no,qualifier:full-fat,merge,,
26,Coconut Milk,light coconut milk,1,no,qualifier?:light,review,,
27,Prawn,prawn,7,no,canonical,merge,yes,
27,Prawn,king prawn,2,no,rule:Prawn,merge,,
27,Prawn,and deveined shrimp,1,no,rule:Prawn,merge,,
27,Prawn,jumbo wild caught pink shrimp,1,no,rule:Prawn,merge,,
27,Prawn,prawn tail,1,no,rule:Prawn,merge,,
27,Prawn,shrimp,1,no,rule:Prawn,merge,,
27,Prawn,wild shrimp,1,no,rule:Prawn,merge,,
27,Prawn,prawn shrimp,0,no,rule:Prawn,merge,,
28,Chilli Flakes,chilli flake,8,no,canonical,merge,yes,
28,Chilli Flakes,red pepper flake,2,no,rule:Chilli Flakes,merge,,
28,Chilli Flakes,chili flake,1,no,rule:Chilli Flakes,merge,,
28,Chilli Flakes,korean chilli flake,1,no,rule:Chilli Flakes,merge,,
28,Chilli Flakes,red chilli flake,1,no,rule:Chilli Flakes,merge,,
29,Plain Flour,plain flour,6,no,canonical,merge,yes,
29,Plain Flour,flour,6,no,rule:Plain Flour,merge,,
29,Plain Flour,all purpose flour,1,no,rule:Plain Flour,merge,,
30,Chocolate Chip,chocolate chip,9,no,canonical,merge,yes,
30,Chocolate Chip,chocolate chip topping,1,no,rule:Chocolate Chip,merge,,
30,Chocolate Chip,mini chocolate chip,1,no,rule:Chocolate Chip,merge,,
30,Chocolate Chip,serving chocolate chip,1,no,rule:Chocolate Chip,merge,,
31,Tahini,tahini,9,no,canonical,merge,yes,
31,Tahini,runny tahini,2,no,rule:Tahini,merge,,
31,Tahini,high quality tahini,1,no,rule:Tahini,merge,,
31,Tahini,high tahini,0,no,rule:Tahini,merge,,
32,Peanut,peanut,11,no,canonical,merge,yes,
32,Peanut,extra peanut,1,no,container:extra,merge,,
33,Dijon Mustard,dijon mustard,9,no,canonical,merge,yes,
33,Dijon Mustard,smooth dijon mustard,2,no,rule:Dijon Mustard,merge,,
34,Chilli Powder,chilli powder,4,no,canonical,merge,yes,
34,Chilli Powder,chili powder,3,no,rule:Chilli Powder,merge,,
34,Chilli Powder,red chilli powder,2,no,rule:Chilli Powder,merge,,
34,Chilli Powder,mild chilli powder,1,no,qualifier:mild,merge,,
35,Cornflour,cornflour,3,no,canonical,merge,yes,
35,Cornflour,corn flour,3,no,rule:Cornflour,merge,,
35,Cornflour,cornstarch,3,no,rule:Cornflour,merge,,
36,Curry Powder,curry powder,8,no,canonical,merge,yes,
36,Curry Powder,mild curry powder,1,no,rule:Curry Powder,merge,,
37,Rice Paper,rice paper,6,no,canonical,merge,yes,
37,Rice Paper,rice paper sheet,3,no,container:sheet,merge,,
38,Tamari,tamari,5,no,canonical,merge,yes,
38,Tamari,low sodium tamari,2,no,qualifier:low | qualifier:sodium,merge,,
39,Mayonnaise,mayonnaise,7,yes,canonical,merge,yes,
40,Sweetener,sweetener,4,no,canonical,merge,yes,
40,Sweetener,natural sweetener,2,no,qualifier:natural,merge,,
41,Tomato,tomato,5,no,canonical,merge,yes,
41,Tomato,tomato slice,1,no,container:slice,merge,,
42,Basil,basil,4,yes,canonical,merge,yes,
42,Basil,big handful basil,1,no,container:big | container:handful,merge,,
43,Coconut Yoghurt,coconut yoghurt,3,no,canonical,merge,yes,
43,Coconut Yoghurt,coconut yogurt,2,no,rule:Coconut Yoghurt,merge,,
44,Firm Tofu,firm tofu,4,no,canonical,merge,yes,
44,Firm Tofu,extra firm tofu,1,no,container:extra,merge,,
45,Salmon,salmon,1,no,canonical,merge,yes,
45,Salmon,salmon fillet,4,no,container:fillet,merge,,
46,Butter,butter,3,no,canonical,merge,yes,
46,Butter,room temperature butter,1,no,rule:Butter,merge,,
46,Butter,unsalted butter,0,no,rule:Butter,merge,,
47,Lemon Zest,lemon zest,2,no,canonical,merge,yes,
47,Lemon Zest,zest from lemon,1,no,rule:Lemon Zest,merge,,
47,Lemon Zest,zest lemon,1,no,rule:Lemon Zest,merge,,
48,Lemongras,lemongras,3,no,canonical,merge,yes,
48,Lemongras,lemongras stalk,1,no,container:stalk,merge,,
49,Peach,peach,3,no,canonical,merge,yes,
49,Peach,peach slice,1,no,container:slice,merge,,
50,Light Mayonnaise,light mayonnaise,4,no,canonical,merge,yes,
51,Celery,celery,1,no,canonical,merge,yes,
51,Celery,celery stalk,1,no,container:stalk,merge,,
51,Celery,stalk celery,1,no,container:stalk,merge,,
52,Ginger And Garlic Paste,ginger and garlic paste,2,no,canonical,merge,yes,
52,Ginger And Garlic Paste,garlic and ginger paste,1,no,variant,merge,,
53,Nori,nori,2,no,canonical,merge,yes,
53,Nori,nori sheet,1,no,container:sheet,merge,,
54,Nut Butter,nut butter,2,no,canonical,merge,yes,
54,Nut Butter,runny nut butter,1,no,qualifier:runny,merge,,
55,Self-Raising Flour,self rising flour,2,no,canonical,merge,yes,
55,Self-Raising Flour,self raising flour,1,no,rule:Self-Raising Flour,merge,,
56,Wide Rice Noodle,wide rice noodle,1,no,canonical,merge,yes,
