row_key,recipe,original_line,replace_with_1,replace_with_2,replace_with_3+,split_type,flag,approve? (y/n/edit)
81b740e7-3f00-49b2-a11e-ac637d9be5ec|0|10,Air Fryer Spring Rolls,"salt and pepper, to taste",Salt (to taste),Black Pepper (to taste),,simple,,
18632440-2773-439d-87d2-6619289b03b0|0|7,Banh Cuon - Vietnamese Rice Paper Rolls,"salt and pepper, to taste",Salt (to taste),Black Pepper (to taste),,simple,,
1261094e-6c00-484b-8229-fc7fb1f0dd55|0|6,Banh Cuon (Vietnamese Rice Paper Rolls),"Salt and pepper, to taste",Salt (to taste),Black Pepper (to taste),,simple,,
fc79b256-4c03-4e40-bbc4-7b500a3a074c|1|4,BBQ Chicken Stuffed Sweet Potatoes,"salt and pepper, to taste",Salt (to taste),Black Pepper (to taste),,simple,,
5eaccfba-85aa-48b6-8eaa-9796c79b5769|0|7,Caramelised Onion Rice with Tikka Cod,"salt and pepper, to taste",Salt (to taste),Black Pepper (to taste),,simple,,
5eaccfba-85aa-48b6-8eaa-9796c79b5769|2|4,Caramelised Onion Rice with Tikka Cod,"salt and pepper, to taste",Salt (to taste),Black Pepper (to taste),,simple,,
2d30544e-9e6b-4a5c-a8bc-a6d70a272bc9|0|9,Char Siu Chicken,"salt and pepper, to taste",Salt (to taste),Black Pepper (to taste),,simple,,
520918ae-a734-4ad1-9fed-c51e46ca82ca|1|5,Chicken Shawarma Sheet Pan Dinner,a couple pinches salt & pepper,a couple pinches Salt,a couple pinches Black Pepper,,simple,,
6d5344f4-65e5-4844-ae41-cffa3639cb9a|0|1,Chicken Spring Roll Bowl,Salt and pepper,Salt,Black Pepper,,simple,,
e7e89515-f1f3-4bcd-87d5-236149bf849f|0|1,Chile Lime Chipotle Chicken,a few generous pinches of salt & pepper,a few generous pinches of Salt,a few generous pinches of Black Pepper,,simple,,
8356cba9-e0e8-43f1-becb-ac9771250799|2|6,Chipotle Chicken & Rice Skillet,salt and pepper,Salt,Black Pepper,,simple,,
f8921341-90bc-4f37-a6c4-caf2f8e5afb3|0|15,Creamy Peanut Miso Ramen,"Salt, pepper, and a pinch of sugar",Salt,Black Pepper,Sugar (a pinch),compound,3-way: also sugar,
55f71d81-f12f-457a-bd8b-d2f3624524da|0|9,Creamy Thai Coconut Chicken Meatballs,salt and pepper,Salt,Black Pepper,,simple,,
4d4f791d-6fdd-44d8-95ca-3ec51a80cdce|1|4,Crispy Bang Bang Chicken,"salt, pepper",Salt,Black Pepper,,simple,,
b8247e99-1960-40c7-abfa-96317b67588c|0|4,Crispy Lemongrass Sea Bass with Nuoc Cham,1 tsp salt & pepper,1 tsp Salt,1 tsp Black Pepper,,simple,AMBIGUOUS: is the measure per-item or shared? assumed per-item,
48bdb0a3-4e51-49dc-8d67-a230db597833|0|5,Crispy Rosemary Chicken with Apple Beetroot & Horseradish Slaw,salt and pepper,Salt,Black Pepper,,simple,,
cb74fd67-6e8b-4577-bfed-66c3a1185ff5|0|6,Dak Gomtang (Korean Chicken Soup),Salt and pepper,Salt,Black Pepper,,simple,,
e4a01ca8-ea37-4c98-b828-6ab89a6d2249|0|3,Easy 1 Pot Chuck Roast,Salt and pepper,Salt,Black Pepper,,simple,,
e4a01ca8-ea37-4c98-b828-6ab89a6d2249|1|5,Easy 1 Pot Chuck Roast,Salt and pepper,Salt,Black Pepper,,simple,,
60029cd9-1b3c-4768-8038-acce64fb2c6b|0|10,Easy Chicken Traybake,"Olive oil, salt and pepper",Olive Oil,Salt,Black Pepper,compound,3-way: also olive oil,
e0fcf458-e19a-49f7-995e-2a95019a0efe|0|1,Easy Chipotle Chicken & Corn Salsa,Salt and pepper,Salt,Black Pepper,,simple,,
901fd531-38c9-4985-9aa3-90918c0e7d40|0|9,Easy Curry Noodles with Crispy Beef,"Salt, pepper, and a pinch of sugar",Salt,Black Pepper,Sugar (a pinch),compound,3-way: also sugar,
901fd531-38c9-4985-9aa3-90918c0e7d40|2|2,Easy Curry Noodles with Crispy Beef,Salt and pepper,Salt,Black Pepper,,simple,,
25c6ef9d-dff4-4687-bb96-666bee149188|0|6,Fiery Chilli Prawn Linguine,"Salt and pepper, to taste",Salt (to taste),Black Pepper (to taste),,simple,,
83d05d6e-9cd1-4d09-9b68-f61f3750579b|0|14,High Protein Tuna Salad,Salt & pepper to taste,Salt (to taste),Black Pepper (to taste),,simple,,
